,Unnamed: 0,class,cap-shapenum,cap-surfacenum,cap-colornum,bruisesnum,odornum,gill-attachmentnum,gill-spacingnum,gill-sizenum,gill-colornum,stalk-shapenum,stalk-rootnum,stalk-surface-above-ringnum,stalk-surface-below-ringnum,stalk-color-above-ringnum,stalk-color-below-ringnum,veil-typenum,veil-colornum,ring-numbernum,ring-typenum,spore-print-colornum,populationnum,habitatnum,poison,edible
6520,6520,p,5,3,2,0,8,1,0,1,0,1,0,2,2,7,7,0,2,1,0,7,4,4,1,0
3946,3946,p,5,0,9,0,2,1,0,0,2,0,1,1,1,4,6,0,2,1,2,1,4,0,1,0
1466,1466,e,5,0,4,1,5,1,0,0,5,1,1,2,2,3,3,0,2,1,4,3,5,0,0,1
1927,1927,e,5,0,4,0,5,1,1,0,7,1,3,2,0,7,7,0,2,1,0,2,0,1,0,1
6889,6889,p,2,2,2,0,2,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,2,1,0
2205,2205,e,5,0,2,1,5,1,0,0,9,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
1130,1130,p,2,2,4,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5,1,0
4105,4105,e,2,3,2,1,5,1,0,0,5,1,1,2,2,3,3,0,2,1,4,3,4,0,0,1
1298,1298,e,5,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,4,0,1
1554,1554,e,2,0,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,0,1,0,1
2055,2055,e,2,0,8,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,3,1,0,1
6610,6610,p,3,2,4,0,2,1,0,1,0,1,0,1,2,6,7,0,2,1,0,7,4,4,1,0
1094,1094,e,5,2,3,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,3,0,1,0,1
2306,2306,e,2,3,3,1,5,1,0,0,7,1,1,2,2,3,3,0,2,1,4,3,4,0,0,1
4408,4408,p,2,3,3,0,2,1,0,0,2,0,1,1,1,4,0,0,2,1,2,1,5,1,1,0
983,983,e,5,0,4,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,3,1,0,1
4751,4751,p,5,3,3,0,2,1,0,0,3,0,1,1,1,4,6,0,2,1,2,1,4,0,1,0
7084,7084,p,3,2,2,0,2,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,2,1,0
5474,5474,p,2,3,3,0,2,1,0,0,2,0,1,1,1,4,4,0,2,1,2,1,4,4,1,0
4623,4623,p,2,3,3,0,2,1,0,0,3,0,1,1,1,4,0,0,2,1,2,1,5,1,1,0
6009,6009,p,2,3,4,0,2,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,4,1,0
3633,3633,p,5,0,3,0,2,1,0,0,3,0,1,1,1,0,6,0,2,1,2,1,4,1,1,0
2785,2785,e,2,0,4,1,5,1,0,0,5,1,1,2,2,3,7,0,2,1,4,2,5,0,0,1
7580,7580,p,3,2,2,0,8,1,0,1,0,1,0,2,2,6,6,0,2,1,0,7,4,0,1,0
5255,5255,p,0,3,0,1,5,1,0,0,10,0,1,2,2,7,7,0,2,2,4,5,4,3,1,0
1335,1335,e,5,0,4,1,5,1,0,0,5,1,1,2,2,6,3,0,2,1,4,2,5,0,0,1
2029,2029,e,0,3,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
1079,1079,e,5,3,4,1,3,1,0,0,7,0,4,2,3,7,7,0,2,1,4,2,3,4,0,1
1101,1101,e,2,2,8,0,5,1,1,0,4,1,3,0,2,7,7,0,2,1,0,3,3,1,0,1
4537,4537,p,5,3,3,0,2,1,0,0,2,0,1,1,1,6,0,0,2,1,2,1,4,1,1,0
2958,2958,e,5,0,2,1,5,1,0,0,10,1,1,2,2,7,6,0,2,1,4,3,5,0,0,1
5833,5833,p,2,3,8,1,5,1,0,0,8,0,1,2,2,7,7,0,2,2,4,5,4,1,1,0
6581,6581,p,2,3,4,0,7,1,0,1,0,1,0,2,2,6,7,0,2,1,0,7,4,0,1,0
6434,6434,e,5,2,4,0,5,0,0,0,5,0,0,2,2,5,5,0,0,1,4,4,4,2,0,1
5043,5043,p,5,3,9,0,2,1,0,0,2,0,1,1,1,0,6,0,2,1,2,1,4,4,1,0
2140,2140,e,5,0,2,1,5,1,0,0,10,1,1,2,2,6,7,0,2,1,4,2,4,0,0,1
7949,7949,p,3,2,2,0,7,1,0,1,0,1,0,2,2,6,7,0,2,1,0,7,4,2,1,0
7500,7500,e,5,0,8,0,5,1,1,0,10,0,0,1,1,7,7,0,2,2,4,7,3,1,0,1
7520,7520,p,3,3,2,0,7,1,0,1,0,1,0,1,2,6,7,0,2,1,0,7,4,2,1,0
2244,2244,e,5,3,2,1,5,1,0,0,5,1,1,2,2,6,3,0,2,1,4,2,4,0,0,1
2738,2738,e,5,0,2,1,5,1,0,0,10,1,1,2,2,6,3,0,2,1,4,2,5,0,0,1
2474,2474,e,5,3,3,1,5,1,0,0,7,1,1,2,2,7,6,0,2,1,4,3,5,0,0,1
2635,2635,e,2,3,2,1,5,1,0,0,7,1,1,2,2,6,3,0,2,1,4,3,4,0,0,1
984,984,p,5,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,5,1,0
3333,3333,e,2,3,4,1,5,1,0,0,5,1,1,2,2,6,6,0,2,1,4,2,5,0,0,1
2774,2774,e,5,0,2,1,5,1,0,0,7,1,1,2,2,6,3,0,2,1,4,2,4,0,0,1
5081,5081,p,2,3,9,0,2,1,0,0,2,0,1,1,1,4,0,0,2,1,2,1,4,0,1,0
6243,6243,p,2,3,2,0,8,1,0,1,0,1,0,2,2,6,6,0,2,1,0,7,4,2,1,0
3354,3354,e,2,3,4,1,5,1,0,0,9,1,1,2,2,6,7,0,2,1,4,3,4,0,0,1
7477,7477,p,3,2,2,0,7,1,0,1,0,1,0,2,2,7,6,0,2,1,0,7,4,0,1,0
6230,6230,p,5,3,2,0,8,1,0,1,0,1,0,2,2,6,7,0,2,1,0,7,4,0,1,0
7532,7532,e,5,2,8,0,5,1,1,0,7,0,0,2,1,7,7,0,2,2,4,7,2,1,0,1
6045,6045,p,5,3,2,0,8,1,0,1,0,1,0,2,1,7,7,0,2,1,0,7,4,2,1,0
8080,8080,p,3,2,4,0,7,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,0,1,0
6615,6615,p,2,2,4,0,2,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,4,1,0
1844,1844,e,5,3,2,1,5,1,0,0,7,1,1,2,2,6,3,0,2,1,4,2,4,0,0,1
3280,3280,p,5,0,3,0,2,1,0,0,7,0,1,1,1,0,4,0,2,1,2,1,4,4,1,0
2645,2645,e,5,0,3,1,5,1,0,0,9,1,1,2,2,3,7,0,2,1,4,3,5,0,0,1
3251,3251,e,2,3,3,1,5,1,0,0,7,1,1,2,2,3,6,0,2,1,4,3,4,0,0,1
619,619,e,4,0,3,0,5,1,0,1,5,0,3,2,2,7,7,0,2,1,4,3,5,5,0,1
7437,7437,e,2,2,4,0,5,0,0,0,5,0,0,2,2,5,5,0,1,1,4,4,4,2,0,1
6185,6185,p,2,2,2,0,8,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,4,1,0
7342,7342,p,3,3,1,0,4,1,0,0,11,0,2,1,3,1,1,0,2,0,3,7,1,0,1,0
576,576,e,5,0,4,0,5,1,0,1,7,0,3,2,2,7,7,0,2,1,4,3,4,5,0,1
6724,6724,p,5,3,2,0,7,1,0,1,0,1,0,2,1,7,6,0,2,1,0,7,4,2,1,0
7140,7140,p,3,2,4,0,8,1,0,1,0,1,0,1,2,6,7,0,2,1,0,7,4,4,1,0
1943,1943,e,2,0,8,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,3,1,0,1
4450,4450,p,5,0,9,0,2,1,0,0,7,0,1,1,1,0,6,0,2,1,2,1,5,4,1,0
6175,6175,p,3,2,4,0,2,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,4,1,0
1741,1741,e,2,0,4,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,3,1,0,1
5907,5907,e,5,2,5,1,5,1,0,0,10,0,0,2,2,7,2,0,2,2,0,7,1,6,0,1
1689,1689,e,5,0,4,1,5,1,0,0,5,1,1,2,2,3,3,0,2,1,4,2,5,0,0,1
7277,7277,p,3,3,2,0,8,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,2,1,0
7756,7756,p,3,3,4,0,2,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,4,1,0
6577,6577,p,2,2,4,0,8,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,2,1,0
7569,7569,p,3,2,2,0,7,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,0,1,0
2230,2230,e,5,3,3,1,5,1,0,0,7,1,1,2,2,6,7,0,2,1,4,3,4,0,0,1
5603,5603,p,5,3,4,0,7,1,0,1,0,1,0,2,2,6,7,0,2,1,0,7,4,0,1,0
4206,4206,p,2,3,3,0,2,1,0,0,2,0,1,1,1,4,6,0,2,1,2,1,5,4,1,0
2905,2905,e,5,3,3,1,5,1,0,0,10,1,1,2,2,7,7,0,2,1,4,2,4,0,0,1
5326,5326,p,5,3,4,0,7,1,0,1,0,1,0,1,2,6,7,0,2,1,0,7,4,2,1,0
683,683,e,0,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
5619,5619,e,2,3,0,1,5,1,0,0,10,0,0,2,2,7,2,0,2,2,0,7,1,6,0,1
6848,6848,p,2,2,2,0,2,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,2,1,0
767,767,e,2,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,5,5,0,1
4577,4577,p,2,0,3,0,2,1,0,0,7,0,1,1,1,4,6,0,2,1,2,1,4,1,1,0
2571,2571,p,5,0,3,0,2,1,0,0,7,0,1,1,1,0,6,0,2,1,2,1,4,1,1,0
4251,4251,p,5,0,9,0,2,1,0,0,7,0,1,1,1,4,4,0,2,1,2,1,5,1,1,0
6624,6624,p,2,2,2,0,2,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,4,1,0
2127,2127,e,5,3,3,1,5,1,0,0,5,1,1,2,2,7,6,0,2,1,4,2,4,0,0,1
575,575,e,5,2,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
2759,2759,e,2,0,4,1,5,1,0,0,10,1,1,2,2,7,7,0,2,1,4,3,5,0,0,1
4401,4401,p,2,0,9,0,2,1,0,0,3,0,1,1,1,0,0,0,2,1,2,1,4,1,1,0
3425,3425,p,5,0,9,0,2,1,0,0,7,0,1,1,1,4,0,0,2,1,2,1,4,4,1,0
3459,3459,e,2,3,4,1,5,1,0,0,10,1,1,2,2,7,6,0,2,1,4,2,4,0,0,1
4640,4640,p,5,3,3,0,2,1,0,0,3,0,1,1,1,4,6,0,2,1,2,1,4,1,1,0
393,393,e,5,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,0,1
1475,1475,e,2,0,4,0,5,1,1,0,4,1,3,2,0,7,7,0,2,1,0,3,3,1,0,1
2694,2694,e,2,0,3,1,5,1,0,0,7,1,1,2,2,7,3,0,2,1,4,3,4,0,0,1
5614,5614,p,5,3,4,0,7,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,2,1,0
3553,3553,e,2,3,4,1,5,1,0,0,9,1,1,2,2,3,6,0,2,1,4,3,5,0,0,1
2931,2931,e,2,0,4,1,5,1,0,0,5,1,1,2,2,7,7,0,2,1,4,2,5,0,0,1
4602,4602,p,2,0,3,0,2,1,0,0,7,0,1,1,1,0,0,0,2,1,2,1,4,0,1,0
6633,6633,p,5,2,4,0,7,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,0,1,0
5842,5842,p,2,2,3,1,2,1,0,0,3,1,1,2,0,7,7,0,2,1,4,1,4,1,1,0
5893,5893,e,3,3,4,1,5,1,0,0,1,0,0,2,2,7,7,0,2,2,0,7,1,6,0,1
79,79,e,2,3,4,1,0,1,0,0,5,0,4,2,3,7,7,0,2,1,4,3,5,1,0,1
2132,2132,e,5,3,4,1,5,1,0,0,9,1,1,2,2,3,7,0,2,1,4,3,4,0,0,1
4263,4263,p,5,3,9,0,2,1,0,0,2,0,1,1,1,4,4,0,2,1,2,1,5,0,1,0
7434,7434,e,3,2,3,0,5,1,1,0,7,0,0,2,2,7,7,0,2,2,4,7,3,1,0,1
6031,6031,p,2,3,2,0,7,1,0,1,0,1,0,2,1,7,6,0,2,1,0,7,4,4,1,0
1668,1668,e,5,3,3,1,5,1,0,0,5,1,1,2,2,6,3,0,2,1,4,3,4,0,0,1
981,981,e,5,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
584,584,e,2,3,9,1,0,1,0,0,10,0,4,2,3,7,7,0,2,1,4,2,3,1,0,1
6368,6368,p,2,2,4,0,2,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,0,1,0
1320,1320,e,2,0,4,1,5,1,0,0,5,1,1,2,2,7,6,0,2,1,4,3,5,0,0,1
3937,3937,e,2,0,2,1,5,1,0,0,9,1,1,2,2,3,3,0,2,1,4,2,4,0,0,1
2399,2399,e,5,0,2,1,5,1,0,0,5,1,1,2,2,7,7,0,2,1,4,2,5,0,0,1
7908,7908,p,3,2,2,0,2,1,0,1,0,1,0,2,2,7,7,0,2,1,0,7,4,2,1,0
4181,4181,p,2,0,3,0,2,1,0,0,3,0,1,1,1,0,0,0,2,1,2,1,5,0,1,0
6445,6445,p,2,2,4,0,8,1,0,1,0,1,0,2,2,7,6,0,2,1,0,7,4,2,1,0
4568,4568,p,2,3,3,0,2,1,0,0,2,0,1,1,1,6,4,0,2,1,2,1,4,4,1,0
7298,7298,p,3,3,2,0,7,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,2,1,0
1152,1152,p,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,1,1,0
3949,3949,p,5,3,9,0,2,1,0,0,3,0,1,1,1,4,4,0,2,1,2,1,4,1,1,0
7501,7501,p,3,2,4,0,7,1,0,1,0,1,0,1,2,6,7,0,2,1,0,7,4,0,1,0
2865,2865,e,5,0,3,1,5,1,0,0,5,1,1,2,2,3,3,0,2,1,4,2,5,0,0,1
3392,3392,e,5,3,4,1,5,1,0,0,10,1,1,2,2,3,7,0,2,1,4,3,4,0,0,1
3638,3638,e,2,0,3,1,5,1,0,0,10,1,1,2,2,3,6,0,2,1,4,3,5,0,0,1
4420,4420,p,5,3,9,0,2,1,0,0,7,0,1,1,1,4,6,0,2,1,2,1,5,1,1,0
3524,3524,e,2,0,2,1,5,1,0,0,10,1,1,2,2,7,3,0,2,1,4,3,5,0,0,1
647,647,e,0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
3704,3704,p,5,0,3,0,2,1,0,0,7,0,1,1,1,6,4,0,2,1,2,1,4,4,1,0
5,5,e,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
3410,3410,e,2,0,4,1,5,1,0,0,9,1,1,2,2,3,3,0,2,1,4,3,5,0,0,1
3208,3208,p,5,0,3,0,2,1,0,0,3,0,1,1,1,4,4,0,2,1,2,1,4,1,1,0
8054,8054,e,5,2,4,0,5,0,0,0,5,0,0,2,2,5,5,0,0,1,4,3,4,2,0,1
302,302,e,5,2,9,1,3,1,1,1,10,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
2740,2740,e,5,3,4,1,5,1,0,0,9,1,1,2,2,3,7,0,2,1,4,3,5,0,0,1
6032,6032,p,5,2,2,0,7,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,2,1,0
5958,5958,p,5,3,9,0,2,1,0,0,2,0,1,1,1,4,0,0,2,1,2,1,5,1,1,0
2843,2843,e,5,0,2,1,5,1,0,0,7,1,1,2,2,7,6,0,2,1,4,3,4,0,0,1
6053,6053,p,2,2,2,0,8,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,2,1,0
6890,6890,p,2,2,4,0,7,1,0,1,0,1,0,1,2,6,6,0,2,1,0,7,4,2,1,0
6489,6489,p,5,2,2,0,2,1,0,1,0,1,0,2,1,7,6,0,2,1,0,7,4,4,1,0
4109,4109,e,2,3,3,1,5,1,0,0,10,1,1,2,2,7,3,0,2,1,4,2,5,0,0,1
4634,4634,e,2,0,3,1,5,1,0,0,9,1,1,2,2,6,7,0,2,1,4,2,4,0,0,1
7457,7457,p,3,2,4,0,7,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,4,1,0
5758,5758,p,5,3,4,0,2,1,0,1,0,1,0,1,2,7,7,0,2,1,0,7,4,2,1,0
3432,3432,p,5,0,3,0,2,1,0,0,2,0,1,1,1,4,4,0,2,1,2,1,4,4,1,0
448,448,e,0,2,8,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
4334,4334,p,5,3,3,0,2,1,0,0,3,0,1,1,1,0,6,0,2,1,2,1,5,1,1,0
1417,1417,e,5,2,4,0,5,1,1,0,5,1,3,0,2,7,7,0,2,1,0,2,0,1,0,1
7555,7555,e,2,2,4,0,5,0,0,0,11,0,0,2,2,5,5,0,1,1,4,0,1,2,0,1
4912,4912,p,2,0,9,0,2,1,0,0,3,0,1,1,1,0,4,0,2,1,2,1,5,4,1,0
8082,8082,p,3,2,2,0,7,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,4,1,0
799,799,e,5,3,4,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,3,4,0,1
2144,2144,e,2,3,4,1,5,1,0,0,7,1,1,2,2,7,3,0,2,1,4,3,4,0,0,1
3429,3429,e,2,3,4,1,5,1,0,0,9,1,1,2,2,3,3,0,2,1,4,2,5,0,0,1
4007,4007,p,2,0,3,0,2,1,0,0,7,0,1,1,1,0,0,0,2,1,2,1,4,4,1,0
243,243,p,5,2,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,4,5,1,0
135,135,p,5,3,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,5,1,0
4671,4671,p,5,3,3,0,2,1,0,0,3,0,1,1,1,6,6,0,2,1,2,1,5,4,1,0
5212,5212,p,5,3,4,0,8,1,0,1,0,1,0,2,2,6,6,0,2,1,0,7,4,0,1,0
4224,4224,e,2,3,2,1,5,1,0,0,7,1,1,2,2,7,7,0,2,1,4,3,4,0,0,1
7745,7745,e,2,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,0,1,4,0,1,2,0,1
283,283,e,5,2,9,1,3,1,0,0,4,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
6772,6772,p,2,2,4,0,7,1,0,1,0,1,0,1,1,7,6,0,2,1,0,7,4,2,1,0
1594,1594,e,5,0,3,0,5,1,1,0,5,1,3,0,0,7,7,0,2,1,0,2,3,1,0,1
2384,2384,e,5,0,4,1,5,1,0,0,10,1,1,2,2,6,6,0,2,1,4,3,4,0,0,1
7961,7961,p,3,3,4,0,8,1,0,1,0,1,0,2,2,7,6,0,2,1,0,7,4,4,1,0
1627,1627,e,5,0,4,1,5,1,0,0,5,1,1,2,2,7,3,0,2,1,4,3,4,0,0,1
2458,2458,e,5,0,4,1,5,1,0,0,7,1,1,2,2,3,3,0,2,1,4,2,5,0,0,1
1801,1801,e,5,0,3,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,3,0,1,0,1
145,145,e,5,0,3,0,5,1,1,0,4,1,3,0,0,7,7,0,2,1,0,2,3,1,0,1
841,841,p,5,3,4,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,4,1,1,0
6347,6347,p,2,2,4,0,7,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,0,1,0
5984,5984,p,2,2,3,1,2,1,0,0,3,1,1,2,0,7,7,0,2,1,4,1,3,1,1,0
3148,3148,p,5,0,8,0,1,1,1,1,5,0,1,2,2,7,7,0,2,1,4,3,3,0,1,0
7603,7603,p,3,2,2,0,2,1,0,1,0,1,0,2,2,6,6,0,2,1,0,7,4,4,1,0
6977,6977,p,5,2,2,0,8,1,0,1,0,1,0,2,1,6,7,0,2,1,0,7,4,4,1,0
6621,6621,p,5,2,4,0,2,1,0,1,0,1,0,1,2,6,7,0,2,1,0,7,4,0,1,0
5605,5605,p,2,2,8,1,5,1,0,0,8,0,1,2,2,7,7,0,2,2,4,5,4,3,1,0
2376,2376,e,5,0,3,1,5,1,0,0,10,1,1,2,2,3,3,0,2,1,4,2,4,0,0,1
7960,7960,e,0,0,8,0,5,1,1,0,2,0,0,1,1,7,7,0,2,2,4,7,3,1,0,1
1592,1592,e,2,0,3,0,5,1,1,0,7,1,3,0,0,7,7,0,2,1,0,2,3,1,0,1
7177,7177,p,3,2,4,0,2,1,0,1,0,1,0,1,1,6,7,0,2,1,0,7,4,2,1,0
4454,4454,p,5,3,3,0,2,1,0,0,7,0,1,1,1,6,4,0,2,1,2,1,4,4,1,0
2808,2808,e,5,3,2,1,5,1,0,0,5,1,1,2,2,3,3,0,2,1,4,3,4,0,0,1
1038,1038,e,5,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,5,5,0,1
7241,7241,p,2,2,2,0,8,1,0,1,0,1,0,2,1,7,6,0,2,1,0,7,4,4,1,0
1488,1488,e,5,2,4,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,3,3,1,0,1
7041,7041,e,2,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,1,1,4,3,4,2,0,1
1803,1803,e,5,3,4,1,5,1,0,0,7,1,1,2,2,6,7,0,2,1,4,3,4,0,0,1
6364,6364,p,2,2,2,0,8,1,0,1,0,1,0,2,1,7,6,0,2,1,0,7,4,2,1,0
6244,6244,p,2,2,2,0,8,1,0,1,0,1,0,1,2,6,7,0,2,1,0,7,4,2,1,0
4239,4239,p,5,3,3,0,2,1,0,0,7,0,1,1,1,4,0,0,2,1,2,1,5,1,1,0
6855,6855,p,3,3,4,0,4,1,0,0,10,0,2,1,3,1,1,0,2,0,3,7,1,0,1,0
3098,3098,e,2,0,2,1,5,1,0,0,5,1,1,2,2,3,3,0,2,1,4,3,5,0,0,1
6,6,e,0,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
252,252,e,4,0,4,0,5,1,0,1,2,0,3,2,2,7,7,0,2,1,4,3,4,5,0,1
5048,5048,p,2,0,3,0,2,1,0,0,7,0,1,1,1,0,4,0,2,1,2,1,4,0,1,0
1567,1567,e,5,2,8,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,0,1,0,1
4069,4069,p,5,3,3,0,2,1,0,0,7,0,1,1,1,0,6,0,2,1,2,1,4,4,1,0
5599,5599,e,5,3,8,0,5,1,0,1,10,0,0,2,0,7,7,0,2,1,1,1,5,0,0,1
6704,6704,p,2,2,2,0,2,1,0,1,0,1,0,2,1,6,6,0,2,1,0,7,4,4,1,0
5705,5705,p,5,2,0,1,2,1,0,0,10,1,1,0,0,7,7,0,2,1,4,1,4,5,1,0
3637,3637,e,2,0,3,1,5,1,0,0,9,1,1,2,2,6,7,0,2,1,4,3,5,0,0,1
1136,1136,e,5,0,4,1,5,1,0,0,5,1,1,2,2,7,6,0,2,1,4,3,5,0,0,1
1080,1080,e,2,0,8,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,2,0,1,0,1
7007,7007,p,5,2,2,0,7,1,0,1,0,1,0,2,2,6,7,0,2,1,0,7,4,4,1,0
408,408,e,5,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,1,0,1
6107,6107,p,2,3,4,0,8,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,2,1,0
7022,7022,e,2,2,3,1,5,1,0,0,10,0,1,2,2,7,7,0,2,2,4,7,4,4,0,1
495,495,e,0,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
410,410,e,5,2,8,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
6792,6792,p,2,2,2,0,7,1,0,1,0,1,0,2,2,7,6,0,2,1,0,7,4,2,1,0
5270,5270,p,2,3,3,0,2,1,0,0,7,0,1,1,1,4,6,0,2,1,2,1,5,1,1,0
6814,6814,p,2,2,2,0,7,1,0,1,0,1,0,2,2,7,7,0,2,1,0,7,4,4,1,0
432,432,e,0,2,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
5260,5260,p,2,2,3,1,2,1,0,0,7,1,1,2,2,7,7,0,2,1,4,1,4,1,1,0
1712,1712,e,5,0,4,1,5,1,0,0,10,1,1,2,2,3,6,0,2,1,4,3,4,0,0,1
3943,3943,e,2,0,2,1,5,1,0,0,7,1,1,2,2,7,3,0,2,1,4,3,5,0,0,1
942,942,p,5,2,8,1,6,1,0,1,10,0,3,2,2,7,7,0,2,1,4,3,3,1,1,0
5994,5994,p,5,3,2,0,8,1,0,1,0,1,0,1,2,7,6,0,2,1,0,7,4,2,1,0
1936,1936,e,2,2,8,1,3,1,1,1,5,1,1,2,2,7,7,0,2,1,4,6,4,0,0,1
7912,7912,e,0,2,3,0,5,1,1,0,7,0,0,2,1,7,7,0,2,2,4,7,2,1,0,1
6287,6287,p,2,2,4,0,2,1,0,1,0,1,0,2,2,6,7,0,2,1,0,7,4,0,1,0
5142,5142,p,5,3,2,0,8,1,0,1,0,1,0,1,1,6,6,0,2,1,0,7,4,4,1,0
5784,5784,p,2,3,9,0,2,1,0,0,2,0,1,1,1,6,6,0,2,1,2,1,5,4,1,0
5490,5490,p,5,2,0,1,2,1,0,0,10,1,1,0,0,7,7,0,2,1,4,1,4,1,1,0
678,678,e,5,3,9,1,3,1,0,0,10,0,4,2,3,7,7,0,2,1,4,3,5,4,0,1
36,36,e,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,4,5,0,1
1123,1123,e,5,0,4,1,5,1,0,0,7,1,1,2,2,6,6,0,2,1,4,2,4,0,0,1
7233,7233,e,0,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,0,1,4,0,1,2,0,1
1128,1128,e,5,0,8,0,5,1,1,0,3,1,3,2,0,7,7,0,2,1,0,3,0,1,0,1
780,780,e,5,3,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
5175,5175,e,5,2,5,1,5,1,0,0,10,0,0,2,2,7,7,0,2,2,0,7,1,6,0,1
3357,3357,p,5,0,8,0,1,1,0,1,7,0,1,2,2,7,7,0,2,1,4,2,4,0,1,0
2772,2772,e,5,3,2,1,5,1,0,0,5,1,1,2,2,3,6,0,2,1,4,3,4,0,0,1
1138,1138,e,2,0,8,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,0,1,0,1
8051,8051,e,5,0,8,0,5,1,1,0,10,0,0,2,1,7,7,0,2,2,4,7,3,1,0,1
6891,6891,p,2,2,2,0,7,1,0,1,0,1,0,2,1,7,7,0,2,1,0,7,4,4,1,0
1937,1937,e,5,0,8,0,5,1,1,0,3,1,3,2,2,7,7,0,2,1,0,3,0,1,0,1
2668,2668,e,5,0,2,1,5,1,0,0,10,1,1,2,2,3,3,0,2,1,4,3,5,0,0,1
1671,1671,e,5,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
7988,7988,e,0,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,1,1,4,0,1,2,0,1
